X	Y	Koeff	ignore_this
-5340	-1350	1	0
-5340	-1330	1	0
-5340	-1310	1	0
-5340	-1290	1	0
-5340	-1270	1	0
-5340	-1250	1	0
-5340	-1230	1	0
-5340	-1210	1	0
-5340	-1190	1	0
-5340	-1170	1	0
-5340	-1150	1	0
-5340	-1130	1	0
-5340	-1110	1	0
-5340	-1090	1	0
-5340	-1070	1	0
-5340	-1050	1	0
-5340	-1030	1	0
-5340	-1010	1	0
-5340	-990	1	0
-5340	-970	1	0
-5340	-950	1	0
-5340	-930	1	0
-5340	-910	1	0
-5340	-890	1	0
-5340	-870	1	0
-5340	-850	1	0
-5340	-830	1	0
-5340	-810	1	0
-5340	-790	1	0
-5340	-770	1	0
-5340	-750	1	0
-5340	-730	1	0
-5340	-710	1	0
-5340	-690	1	0
-5340	-670	1	0
-5340	-650	1	0
-5340	-630	1	0
-5340	-610	1	0
-5340	-590	1	0
-5340	-570	1	0
-5340	-550	1	0
-5340	-530	1	0
-5340	-510	1	0
-5340	-490	1	0
-5340	-470	1	0
-5340	-450	1	0
-5340	-430	1	0
-5340	-410	1	0
-5340	-390	1	0
-5340	-370	1	0
-5340	-350	1	0
-5340	-330	1	0
-5340	-310	1	0
-5340	-290	1	0
-5340	-270	1	0
-5340	-250	1	0
-5340	-230	1	0
-5340	-210	1	0
-5340	-190	1	0
-5340	-170	1	0
-5340	-150	1	0
-5340	-130	1	0
-5340	-110	1	0
-5340	-90	1	0
-5340	-70	1	0
-5340	-50	1	0
-5340	-30	1	0
-5340	-10	1	0
-5340	10	1	0
-5340	30	1	0
-5340	50	1	0
-5340	70	1	0
-5340	90	1	0
-5340	110	1	0
-5340	130	1	0
-5340	150	1	0
-5340	170	1	0
-5340	190	1	0
-5340	210	1	0
-5340	230	1	0
-5340	250	1	0
-5340	270	1	0
-5340	290	1	0
-5340	310	1	0
-5340	330	1	0
-5340	350	1	0
-5340	370	1	0
-5340	390	1	0
-5340	410	1	0
-5340	430	1	0
-5340	450	1	0
-5340	470	1	0
-5340	490	1	0
-5340	510	1	0
-5340	530	1	0
-5340	550	1	0
-5340	570	1	0
-5340	590	1	0
-5340	610	1	0
-5340	630	1	0
-5340	650	1	0
-5340	670	1	0
-5340	690	1	0
-5340	710	1	0
-5340	730	1	0
-5340	750	1	0
-5340	770	1	0
-5340	790	1	0
-5340	810	1	0
-5340	830	1	0
-5340	850	1	0
-5340	870	1	0
-5340	890	1	0
-5340	910	1	0
-5340	930	1	0
-5340	950	1	0
-5340	970	1	0
-5340	990	1	0
-5340	1010	1	0
-5340	1030	1	0
-5340	1050	1	0
-5340	1070	1	0
-5340	1090	1	0
-5340	1110	1	0
-5340	1130	1	0
-5340	1150	1	0
-5340	1170	1	0
-5340	1190	1	0
-5340	1210	1	0
-5340	1230	1	0
-5340	1250	1	0
-5340	1270	1	0
-5340	1290	1	0
-5340	1310	1	0
-5340	1330	1	0
-5340	1350	1	0
-5340	1370	1	0
-5340	1390	1	0
-5340	1410	1	0
-5340	1430	1	0
-5340	1450	1	0
-5340	1470	1	0
-5340	1490	1	0
-5340	1510	1	0
-5340	1530	1	0
-5340	1550	1	0
-5340	1570	1	0
-5340	1590	1	0
-5340	1610	1	0
-5340	1630	1	0
-5340	1650	1	0
-5340	1670	1	0
-5340	1690	1	0
-5340	1710	1	0
-5340	1730	1	0
-5340	1750	1	0
-5340	1770	1	0
-5340	1790	1	0
